<<<<<<< HEAD
﻿idUser;userName;phone;email;passport.
1;admin_user;687550711;admin@stayapp.com;85019795.
2;Francesco_Vergolini;693266457;Fran@example.com;72725747.
3;Natasha_Kiev;675822906;Natasha@example.com;90830697.
.;;;;
.;;;;
.;;;;
.;;;;
.;;;;
.;;;;
=======
﻿idUser;userName;phone;email;passport
1;admin_user;687550711;admin@stayapp.com;85019795
2;Francesco_Vergolini;693266457;Fran@example.com;72725747
3;Natasha_Kiev;675822906;Natasha@example.com;90830697


>>>>>>> 62e552e (Datos de csv cambiados 02)
